CityId,CountryId,StateId,Name,TimeZone,Latitude,Longitude
9619,14,59,Alice Springs,+09:30,-23.7,133.867
9621,223,NULL,Kayseri,+02:00,38.7703,35.4956
9622,231,38,Astoria,-08:00,46.1667,-123.883
9623,172,NULL,Asuncion,-04:00,-25.2397,-57.5192
9624,114,NULL,Amboseli,+03:00,-2.645,37.2528
9625,64,NULL,Aswan,+02:00,23.9644,32.82
9629,173,NULL,Anta,-05:00,-13.4833,-72.1333
9631,17,NULL,Arthur's Town,-05:00,24.6294,-75.6739
9632,200,NULL,Atoifi,+11:00,-8.87333,161.011
9636,84,NULL,Athens,+02:00,37.9364,23.9444
9639,231,1,Atqasuk,-09:00,70.4672,-157.436
9640,231,11,Atlanta,-05:00,33.65,-84.4333
9641,31,115,Altamira,-03:00,-3.25389,-52.2539
9645,101,NULL,Amritsar,+05:30,31.7097,74.7972
9648,231,1,Atmautluak,-09:00,61,-162.75
9651,231,49,Appleton,-06:00,44.2667,-88.5167
9653,231,42,Watertown,-06:00,44.9139,-97.1547
9654,64,NULL,Assiut,+02:00,27.0464,31.0119
9655,13,NULL,Aruba,-04:00,12.5014,-70.0153
9657,48,NULL,Arauca,-05:00,7.06889,-70.7369
9661,231,22,Augusta,-05:00,44.3167,-69.8
9662,229,NULL,Abu Dhabi,+04:00,24.4667,54.3667
9665,231,1,Alakanuk,-09:00,62.6833,-164.633
9671,76,NULL,Atuona,-09:30,-9.76889,-139.011
9672,74,NULL,Aurillac,+01:00,44.8975,2.41667
9673,231,44,Austin,-06:00,30.3,-97.7833
9675,14,53,Aurukun Mission,+10:00,-13.3539,141.721
9677,231,49,Wausau,-06:00,44.7667,-89.6806
9678,31,98,Araguaina,-03:00,-7.21667,-48.2333
9679,235,NULL,Aneityum,+11:00,-20.3333,169.667
9681,45,NULL,Anshun,+08:00,26.2572,105.873
9682,108,NULL,Aviano,+01:00,46.0319,12.5964
9687,231,28,Asheville,-05:00,35.4361,-82.5419
9688,74,NULL,Avignon,+01:00,43.9333,4.8
