AirportId,CountryId,StateId,CityId,Code,Name,TimeZone,Latitude,Longitude
4056,45,NULL,12576,JMU,Jiamusi Airport,+08:00,46.8433,130.465
4058,45,NULL,12579,JNG,Jining Airport,+08:00,35.4167,116.533
4060,85,NULL,12581,JNN,Nanortalik Airport,-03:00,60.1667,-45.0833
4062,85,NULL,12583,JNS,Narsaq Airport,-02:00,60.9167,-46.0667
4063,231,1,12584,JNU,Juneau Airport,-08:00,58.355,-134.576
4064,84,NULL,12585,JNX,Naxos Is Airport,+03:00,37.0822,25.3686
4065,45,NULL,12586,JNZ,Jinzhou Airport,+08:00,41.1025,121.062
4066,73,NULL,12587,JOE,Joensuu Airport,+03:00,62.6628,29.6075
4067,102,NULL,12588,JOG,Yogyakarta Airport,+07:00,-7.78806,110.432
4069,31,116,12590,JOI,Joinville Airport,-03:00,-26.2244,-48.7975
4071,174,NULL,12592,JOL,Jolo Airport,+08:00,6.05361,121.011
4076,161,NULL,12597,JOS,Jos Airport,+01:00,9.63333,8.86667
4078,31,87,12599,JPA,Joao Pessoa Airport,-03:00,-7.14833,-34.9506
4080,31,93,12601,JPR,Ji-Parana Airport,-04:00,-8.05,-62.8667
4081,85,NULL,12602,JQA,Qaarsut Airport,-03:00,70.7319,-52.7028
4082,170,NULL,12603,JQE,Jaque Airport,-05:00,7.75,-78.25
4083,101,NULL,12604,JRH,Jorhat Airport,+05:30,26.7317,94.1756
4086,215,NULL,12607,JRO,Kilimanjaro Airport,+03:00,-3.42944,37.0744
4088,101,NULL,12609,JSA,Jaisalmer Airport,+05:30,26.8886,70.865
4090,84,NULL,12611,JSH,Siteia Airport,+03:00,35.2161,26.1014
4091,84,NULL,12612,JSI,Skiathos Airport,+03:00,39.1772,23.5036
4094,19,NULL,12615,JSR,Jessore Airport,+06:00,23.1839,89.1608
4096,231,39,12617,JST,Johnstown Airport,-04:00,40.3161,-78.8339
4097,85,NULL,12618,JSU,Maniitsoq Airport,-02:00,65.4167,-52.9
4098,84,NULL,12619,JSY,Syros Island Airport,+03:00,37.4228,24.9508
4101,84,NULL,12622,JTR,Thira Airport,+03:00,36.3992,25.4794
4102,84,NULL,12623,JTY,Astypalaia Island Airport,+03:00,36.58,26.3758
4104,206,NULL,12625,JUB,Juba Airport,+03:00,4.87194,31.6011
4106,11,69,12627,JUJ,Jujuy Airport,-03:00,-24.3928,-65.0978
4107,173,NULL,12628,JUL,Juliaca Airport,-05:00,-15.4672,-70.1581
4108,154,NULL,12629,JUM,Jumla Airport,+05:45,29.2833,82.1667
4113,85,NULL,12634,JUV,Upernavik Airport,-02:00,72.8333,-56
4114,45,NULL,12635,JUZ,Juzhou Airport,+08:00,28.9667,118.833
4115,131,NULL,12636,JVA,Ankavandra Airport,+03:00,-18.8,45.2833
4120,231,23,12641,JXN,Jackson Airport,-05:00,42.2667,-84.4667
4122,73,NULL,12643,JYV,Jyvaskyla Airport,+03:00,62.3994,25.6783
4123,45,NULL,12644,JZH,Jiuzhaigou (Huanglong) Airport,+08:00,32.8567,103.683
4126,212,NULL,12647,KAC,Kameshli Airport,+02:00,37.0206,41.1914
4127,161,NULL,12648,KAD,Kaduna Airport,+01:00,10.6961,7.32
4128,231,1,12649,KAE,Kake Airport,-08:00,56.9614,-133.91
4132,73,NULL,12653,KAJ,Kajaani Airport,+03:00,64.2856,27.6925
4134,231,1,12655,KAL,Kaltag Airport,-08:00,64.3181,-158.743
4136,161,NULL,12657,KAN,Kano Airport,+01:00,12.0475,8.52472
4137,73,NULL,12658,KAO,Kuusamo Airport,+02:00,65.9875,29.2394
4142,158,NULL,12663,KAT,Kaitaia Airport,+13:00,-35.0711,173.287
4145,151,NULL,12666,KAW,Kawthaung Airport,+06:30,10.0492,98.5381
4146,14,57,12667,KAX,Kalbarri Airport,+08:00,-27.69,114.262
4148,102,NULL,12669,KAZ,Kau Airport,+09:00,1.16667,127.883
4151,231,1,12672,KBC,Birch Creek Airport,-08:00,66.2667,-145.8
4160,1,NULL,12681,KBL,Kabul Airport,+04:30,34.5658,69.2125
4165,133,NULL,12686,KBR,Kota Bharu Airport,+08:00,6.16611,102.293
4168,102,NULL,12689,KBU,Kotabaru Airport,+08:00,-3.25,116.25
4169,216,NULL,12690,KBV,Krabi Airport,+07:00,8.09583,98.9889
4173,45,NULL,12694,KCA,Kuqa Airport,+08:00,41.7181,82.9867
4175,231,1,12696,KCC,Coffman Cove Airport,-08:00,56,-132.833
4178,167,NULL,12699,KCF,Kadanwari Airport,+05:00,27.2,69.15
4179,133,NULL,12700,KCH,Kuching Airport,+08:00,1.48417,110.344
4183,223,NULL,12705,KCM,Kahramanmaras Airport,+03:00,37.5389,36.9533
4189,205,NULL,12711,KCT,Koggala Airport,+05:30,5.99361,80.3203
4191,110,NULL,12713,KCZ,Kochi Airport,+09:00,33.5461,133.669
4198,1,NULL,12720,KDH,Kandahar Airport,+04:30,31.5056,65.8478
4199,102,NULL,12721,KDI,Kendari Airport,+08:00,-4.08167,122.418
4201,68,NULL,12723,KDL,Kardla Airport,+03:00,58.9908,22.8308
4202,134,NULL,12724,KDM,Kaadedhdhoo Airport,+05:00,0.488333,72.9961
4204,134,NULL,12726,KDO,Kadhdhoo Airport,+05:00,1.85833,73.5197
4210,167,NULL,12732,KDU,Skardu Airport,+05:00,35.3356,75.5361
4211,72,NULL,12733,KDV,Kadavu Airport,+12:00,-19.0583,178.158
4212,205,NULL,12734,KDW,Kandy Airport,+06:00,7.26389,80.7636
4214,205,NULL,12736,KDZ,Katugastota Airport,+05:30,7.33056,80.6417
4216,231,1,12738,KEB,Nanwalek Airport,-08:00,59.3667,-151.917
4221,231,48,12743,KEH,Kenmore Air Harbor Airport,-08:00,47.7611,-122.251
4223,182,NULL,12745,KEJ,Kemerovo Airport,+07:00,55.27,86.1072
4224,231,1,12746,KEK,Ekwok Airport,-08:00,59.3667,-157.483
4226,73,NULL,12748,KEM,Kemi/Tornio Airport,+03:00,65.7819,24.5992
4229,154,NULL,12751,KEP,Nepalganj Airport,+05:45,28.1036,81.6669
4231,103,NULL,12753,KER,Kerman Airport,+03:30,30.2744,56.9511
4233,151,NULL,12755,KET,Kengtung Airport,+06:30,21.3017,99.6361
4236,39,106,12758,KEW,Keewaywin Airport,-05:00,52.9922,-92.8389
4239,205,NULL,12761,KEZ,Kelaniya Airport,+05:30,6.96833,79.8811
4243,231,1,12765,KFP,False Pass Airport,-08:00,54.85,-163.417
4245,51,NULL,12767,KGA,Kananga Airport,+02:00,-5.9,22.4692
4247,14,54,12769,KGC,Kingscote Airport,+10:30,-35.7139,137.521
4248,182,NULL,12770,KGD,Kaliningrad Airport,+03:00,54.89,20.5925
4249,200,NULL,12771,KGE,Kagau Airport,+11:00,-7.32833,157.583
4250,113,NULL,12772,KGF,Karaganda Airport,+06:00,49.6708,73.3344
4253,14,57,12775,KGI,Kalgoorlie Airport,+08:00,-30.7894,121.462
4254,132,NULL,12776,KGJ,Karonga Airport,+02:00,-9.95,33.9167
4255,231,1,12777,KGK,Koliganek Airport,-08:00,59.7833,-157.333
4256,183,NULL,12778,KGL,Kigali Airport,+02:00,-1.96861,30.1394
4260,182,NULL,12782,KGP,Kogalym Airport,+06:00,62.1906,74.5339
4262,84,NULL,12784,KGS,Kos Airport,+03:00,36.7933,27.0917
4264,171,NULL,12786,KGW,Kagi Airport,+10:00,-9.05,146.833
4265,231,1,12787,KGX,Grayling Airport,-08:00,62.6667,-160.008
4270,103,NULL,12792,KHD,Khorramabad Airport,+03:30,33.4386,48.2808
4272,45,NULL,12794,KHG,Kashi Airport,+08:00,39.5425,76.02
4273,213,NULL,12795,KHH,Kaohsiung Airport,+08:00,22.5772,120.35
4274,167,NULL,12796,KHI,Karachi Airport,+05:00,24.9067,67.1608
4278,151,NULL,12800,KHM,Khamti Airport,+06:30,25.9878,95.6742
4279,45,NULL,12801,KHN,Nanchang Airport,+08:00,28.8639,115.902
4282,166,NULL,12804,KHS,Khasab Airport,+04:00,26.1711,56.2406
4285,182,NULL,12807,KHV,Khabarovsk Airport,+11:00,48.5281,135.188
4287,103,NULL,12809,KHY,Khoy Airport,+03:30,38.4222,44.9767
4288,76,NULL,12810,KHZ,Kauehi Airport,-10:00,-15.7808,-145.124
4292,210,NULL,12814,KID,Kristianstad Airport,+02:00,55.9217,14.0856
4294,39,106,12816,KIF,Kingfisher Lake Airport,-05:00,53.0333,-89.8333
4296,103,NULL,12818,KIH,Kish Island Airport,+03:30,26.5275,53.9792
4298,110,NULL,12820,KIJ,Niigata Airport,+09:00,37.9558,139.121
4299,104,NULL,12821,KIK,Kirkuk Airport,+03:00,35.5167,44.3
4301,202,NULL,12823,KIM,Kimberley Airport,+02:00,-28.8028,24.7653
4304,105,NULL,12827,KIR,Kerry Airport,+01:00,52.1808,-9.52389
4305,114,NULL,12828,KIS,Kisumu Airport,+03:00,-0.0855556,34.7297
4308,144,NULL,12831,KIV,Chisinau Airport,+03:00,46.9278,28.9308
4312,182,NULL,12835,KJA,Krasnoyarsk Airport,+08:00,56.1731,92.4933
4318,231,1,12841,KKA,Koyuk Airport,-08:00,64.9389,-161.155
4319,216,NULL,12842,KKC,Khon Kaen Airport,+07:00,16.4644,102.782
4320,171,NULL,12843,KKD,Kokoda Airport,+10:00,-8.88333,147.733
4321,158,NULL,12844,KKE,Kerikeri Airport,+13:00,-35.2578,173.912
4324,231,1,12847,KKH,Kongiganak Airport,-08:00,59.9517,-162.869
4325,231,1,12848,KKI,Akiachak Airport,-08:00,60.9167,-161.433
4326,110,NULL,12849,KKJ,Kita Kyushu Airport,+09:00,33.8458,131.035
4330,165,NULL,12853,KKN,Kirkenes Airport,+02:00,69.7258,29.8914
4333,76,NULL,12856,KKR,Kaukura Atoll Airport,-10:00,-15.6633,-146.885
4335,231,1,12858,KKU,Ekuk Airport,-08:00,58.8167,-158.55
4345,231,1,12868,KLG,Kalskag Airport,-08:00,61.5342,-160.318
4346,101,NULL,12869,KLH,Kolhapur Airport,+05:30,16.6647,74.2894
4349,231,1,12872,KLL,Levelock Airport,-08:00,59.1167,-156.883
4351,231,1,12874,KLN,Larsen Bay Airport,-08:00,57.5333,-154
4352,174,NULL,12875,KLO,Kalibo Airport,+08:00,11.6794,122.376
4355,210,NULL,12878,KLR,Kalmar Airport,+02:00,56.6856,16.2875
4357,15,NULL,12880,KLU,Klagenfurt Airport,+02:00,46.6428,14.3378
4358,58,NULL,12881,KLV,Karlovy Vary Airport,+02:00,50.2031,12.915
4359,231,1,12882,KLW,Klawock Airport,-08:00,55.5792,-133.076
4360,84,NULL,12883,KLX,Kalamata Airport,+03:00,37.0683,22.0256
4363,171,NULL,12886,KMA,Kerema Airport,+10:00,-7.96361,145.771
4369,45,NULL,12892,KMG,Kunming Airport,+08:00,24.9922,102.744
4371,110,NULL,12894,KMI,Miyazaki Airport,+09:00,31.8772,131.449
4372,110,NULL,12895,KMJ,Kumamoto Airport,+09:00,32.8372,130.855
4376,51,NULL,12899,KMN,Kamina Airport,+02:00,-8.64111,25.25
4377,231,1,12900,KMO,Manokotak Airport,-08:00,58.9844,-159.036
4379,110,NULL,12902,KMQ,Komatsu Airport,+09:00,36.3947,136.407
4381,82,NULL,12904,KMS,Kumasi Airport,+00:00,6.71444,-1.59083
4384,151,NULL,12907,KMV,Kalemyo Airport,+06:30,23.1833,94.05
4391,51,NULL,12914,KND,Kindu Airport,+02:00,-2.91917,25.9153
4394,102,NULL,12917,KNG,Kaimana Airport,+09:00,-3.64444,133.696
4395,213,NULL,12918,KNH,Kinmen Airport,+08:00,24.4206,118.344
4398,231,1,12921,KNK,Kakhonak Airport,-08:00,59.4333,-154.85
4404,157,NULL,12927,KNQ,Kone Airport,+11:00,-21.0542,164.837
4406,14,55,12929,KNS,King Island Airport,+11:00,-39.8775,143.878
4408,101,NULL,12931,KNU,Kanpur Airport,+05:30,26.4414,80.365
4410,231,1,12933,KNW,New Stuyahok Airport,-08:00,59.45,-157.318
4411,14,57,12934,KNX,Kununurra Airport,+08:00,-15.7781,128.708
4414,231,12,12937,KOA,Kona Airport,-10:00,19.7389,-156.046
4416,157,NULL,12939,KOC,Koumac Airport,+11:00,-20.5464,164.256
4418,102,NULL,12941,KOE,Kupang Airport,+08:00,-10.1717,123.671
4422,230,NULL,12945,KOI,Kirkwall Airport,+00:00,58.9578,-2.90528
4423,110,NULL,12946,KOJ,Kagoshima Airport,+09:00,31.8033,130.719
4424,73,NULL,12947,KOK,Kokkola/Pietarsaari Airport,+03:00,63.7211,23.1431
4427,237,NULL,12950,KON,Kontum Airport,+07:00,14.35,108.017
4429,216,NULL,12952,KOP,Nakhon Phanom Airport,+07:00,17.3853,104.642
4433,231,1,12956,KOT,Kotlik Airport,-08:00,63.0333,-163.533
4436,45,NULL,12959,KOW,Ganzhou Airport,+08:00,25.8264,114.912
